TOORAK RESEARCH STATION, -21.0333333333, 141.8
LEARMONTH AIRPORT, -22.2405555556, 114.096666667
THEVENARD ISLAND, -21.4605555556, 115.019722222
ONSLOW, -21.6333333333, 115.116666667
MARDIE, -21.1905555556, 115.979722222
LEGENDRE ISALND, -20.3583333333, 116.843055556
ROEBOURNE AERO, -20.7594444444, 117.158333333
ROEBOURNE, -20.7766666667, 117.145555556
PARDOO STATION, -20.1077777778, 119.581111111
PORT HEDLAND AIRPORT, -20.3725, 118.631666667
WITTENOOM, -22.2425, 118.335833333
PANNAWONICA, -21.6333333333, 116.333333333
MARBLE BAR COMPARISON, -21.1833333333, 119.75
PARABURDOO AERO, -23.1725, 117.749444444
NEWMAN AERO, -23.4169444444, 119.798888889
EMU CREEK STATION, -23.0313888889, 115.041388889
TELFER AERO, -21.7125, 122.228055556
BALGO HILLS, -20.1416666667, 127.986666667
WULUNGURRU, -23.27, 129.38
PAPUNYA, -23.2044444444, 131.915555556
WATARRKA, -24.2913888889, 131.548888889
YUENDUMU, -22.2561111111, 131.801666667
ALI CURUNG, -21.0025, 134.402777778
ALICE SPRINGS AIRPORT, -23.795, 133.888888889
JERVOIS, -22.9494444444, 136.143888889
TERRITORY GRAPE FARM, -22.4513888889, 133.6375
URANDANGI, -21.6, 138.3
MOUNT ISA AERO, -20.6777777778, 139.487222222
BOULIA AIRPORT, -22.9116666667, 139.903888889
BEDOURIE POLICE STATION, -24.3597222222, 139.471388889
CLONCURRY AIRPORT, -20.6663888889, 140.505
THE MONUMENT AIRPORT, -21.8125, 139.926388889
JULIA CREEK AIRPORT, -20.6672222222, 141.721388889
TREPELL AIRPORT, -21.84, 140.892222222
WINTON POST OFFICE, -22.3833333333, 143.033333333
RICHMOND POST OFFICE, -20.7286111111, 143.142222222
RICHMOND AIRPORT, -20.7013888889, 143.116666667
WINTON AIRPORT, -22.3616666667, 143.083611111
HUGHENDEN AIRPORT, -20.8191666667, 144.233055556
ISISFORD POST OFFICE, -24.2591666667, 144.440555556
LONGREACH AERO, -23.4372222222, 144.276944444
BARCALDINE POST OFFICE, -23.5544444444, 145.288333333
CHARTERS TOWERS AIRPORT, -20.0463888889, 146.270833333
MORANBAH  WATER TREATMENT PLANT, -22.0, 148.033333333
CLERMONT SIRIUS ST, -22.8166666667, 147.633333333
COLLINSVILLE POST OFFICE, -20.5533333333, 147.846388889
BLACKWATER, -23.6, 148.866666667
EMERALD AIRPORT, -23.5694444444, 148.175555556
ROLLESTON METEOR ST, -24.45, 148.616666667
PROSERPINE AIRPORT, -20.4925, 148.555
BOWEN AIRPORT, -20.015, 148.215277778
MACKAY M.O, -21.1172222222, 149.216944444
HAMILTON ISLAND AIRPORT, -20.3658333333, 148.953333333
ST LAWRENCE POST OFFICE, -22.35, 149.533333333
SAMUEL HILL AERO, -22.7433333333, 150.657777778
CREAL REEF, -20.5302777778, 150.377222222
YEPPOON THE ESPLANADE, -23.1363888889, 150.750555556
ROCKHAMPTON AERO, -23.3752777778, 150.4775
BARALABA POST OFFICE, -24.1833333333, 149.816666667
THANGOOL AIRPORT, -24.4936111111, 150.570833333
MONTO TOWNSHIP, -24.8641666667, 151.124722222
RUNDLE ISLAND, -23.5291666667, 151.276388889
GANNET CAY, -21.9766666667, 152.470833333
GLADSTONE RADAR, -23.8552777778, 151.262777778
GLADSTONE AIRPORT, -23.8697222222, 151.221388889
SEVENTEEN SEVENTY, -24.1566666667, 151.888888889
HERON ISLAND RES STN, -23.4422222222, 151.913055556
LADY ELLIOT ISLAND, -24.1116666667, 152.716111111
SANDY CAPE LIGHTHOUSE, -24.7297222222, 153.208055556
FREDERICK REEF, -20.9375, 154.401944444
CATO ISLAND, -23.2502777778, 155.541944444
VARANUS ISLAND, -20.6563888889, 115.575833333
BARROW ISLAND AIRPORT, -20.875, 115.405555556
ONSLOW AIRPORT, -21.6688888889, 115.109166667
KARRATHA AERO, -20.7097222222, 116.774166667
TOM PRICE, -22.7, 117.766666667
MARBLE BAR, -21.1755555556, 119.749722222
MOUNT AUGUSTUS, -24.3, 116.916666667
RABBIT FLAT, -20.1825, 130.014722222
ARLTUNGA, -23.4563888889, 134.685
BLACKALL AIRPORT, -24.4302777778, 145.430277778
SPRINGSURE DAME ST, -24.1230555556, 148.085555556
TE KOWAI EXP STN, -21.1666666667, 149.116666667
MACKAY AERO, -21.1705555556, 149.179444444
BRIGALOW RESEARCH STN, -24.8333333333, 149.8
KALUMBURU, -14.2963888889, 126.645277778
